crime,97
politics,63
demography,63
video games,51
trade and business,39
social media,36
online information,33
sports events,23
roadways,21
astronomy,21
programming,20
text analysis,20
accidents,17
news,17
student performances,17
airways,16
real estate,16
food and nutrition,16
elections,16
disasters,16
geographical information,14
stock data,14
weather and climate,14
diagnostics,12
commodity prices,10
zoological,10
movies,10
air pollution,10
books and comics,10
genomics,9
football,9
chemistry,9
diseases and epidemics,9
banking,9
sports teams and players,9
music,8
Online forums ,8
grammar,8
health infrastructure,7
fitness and personal well being,7
traffic violations,6
Insurance,6
gadgets,6
videos,6
rail and metro,6
online shopping,6
history,6
court cases,6
universities and colleges,6
online reviews and ratings,5
board games,5
mail and messaging,5
mental health,5
TV shows,5
botanical,5
artificial intelligence,5
blockchain and crytocurrencies,5
income,4
game strategies,4
visual arts,4
Written script,4
speech,4
pharmaceuticals,3
renewable energy,3
sports scores,3
drugs and addiction,3
energy production,3
literature,3
water pollution,3
cricket,3
jobs and employment,3
traffic ,2
noise pollution,2
physical sciences,1
photos and images ,1
military,1
energy consumption,1
traffic,1
